id,team_id,time_type_id,time,player_id,heat_id
67,11,1,12:05:28.607547,39,2
68,13,1,12:05:28.607547,47,2
69,11,1,12:05:51.49052,39,2
70,11,2,12:05:54.925827,39,2
71,11,2,12:06:05.323202,39,2
72,11,3,12:06:09.174584,39,2
73,11,3,12:06:18.775418,39,2
74,11,1,12:06:26.506225,39,2
75,13,1,12:06:42.669666,47,2
76,13,1,12:06:42.669666,48,2
77,13,1,12:07:11.126889,48,2
78,11,1,12:07:11.912868,39,2
79,11,1,12:07:11.912868,42,2
80,13,2,12:07:15.978772,48,2
81,11,1,12:07:22.246984,42,2
82,11,2,12:07:25.261965,42,2
83,11,2,12:07:33.964449,42,2
84,13,2,12:07:35.447159,48,2
85,11,3,12:07:37.821733,42,2
86,13,3,12:07:38.658167,48,2
87,11,3,12:07:47.999082,42,2
88,13,3,12:07:48.761723,48,2
89,13,1,12:07:53.026011,48,2
90,11,1,12:07:53.401375,42,2
91,13,1,12:08:16.71057,48,2
93,11,1,12:08:25.447291,42,2
94,11,1,12:08:25.447291,41,2
95,11,1,12:08:48.335385,41,2
97,11,2,12:08:52.643557,41,2
103,11,2,12:09:25.504123,41,2
104,11,3,12:09:28.020351,41,2
105,11,3,12:09:39.16499,41,2
106,11,1,12:09:45.860626,41,2
108,13,1,12:09:50.552408,49,2
109,11,1,12:10:10.487442,41,2
111,13,1,12:10:21.669971,49,2
112,13,2,12:10:27.323861,49,2
113,13,2,12:10:33.854793,49,2
115,13,3,12:10:36.480576,49,2
119,13,3,12:10:45.952387,49,2
120,13,1,12:10:48.233613,49,2
125,13,1,12:11:12.06558,49,2
126,13,1,12:11:12.06558,49,2
127,13,1,12:11:26.00648,49,2
128,13,1,12:11:26.00648,49,2
133,14,1,12:17:09.962531,54,3
134,12,1,12:17:09.962531,43,3
135,12,1,12:17:26.737952,43,3
136,12,2,12:17:33.446402,43,3
137,14,1,12:17:39.292349,54,3
138,14,2,12:17:39.701703,54,3
139,12,2,12:17:42.247894,43,3
140,14,2,12:17:46.784136,54,3
141,14,3,12:17:49.461262,54,3
142,12,3,12:17:49.750814,43,3
143,12,3,12:17:59.110758,43,3
144,14,3,12:17:59.542635,54,3
145,12,1,12:18:03.290274,43,3
146,14,1,12:18:07.989535,54,3
147,12,1,12:18:29.005649,43,3
148,12,1,12:18:29.005649,46,3
149,14,1,12:18:32.696079,54,3
150,14,1,12:18:32.696079,51,3
151,14,1,12:18:50.344847,54,3
152,14,1,12:18:50.344847,51,3
153,14,1,12:19:00.725342,54,3
154,12,1,12:19:00.884611,46,3
156,12,2,12:19:04.593438,46,3
160,14,3,12:19:13.832001,51,3
161,12,2,12:19:15.558915,46,3
162,12,3,12:19:18.472153,46,3
163,14,3,12:19:21.940411,51,3
164,14,1,12:19:27.219494,51,3
165,12,3,12:19:27.276617,46,3
166,12,1,12:19:32.133803,46,3
167,14,1,12:19:49.998754,51,3
168,14,1,12:19:49.998754,52,3
169,12,1,12:20:03.089472,46,3
170,12,1,12:20:03.089472,45,3
171,14,1,12:20:17.825831,52,3
172,14,2,12:20:22.045164,52,3
173,14,2,12:20:30.791144,52,3
174,14,3,12:20:33.468771,52,3
175,14,3,12:20:41.13371,52,3
176,12,1,12:20:44.201027,45,3
177,14,1,12:20:48.084244,52,3
178,12,2,12:20:49.365212,45,3
179,14,1,12:21:09.797758,52,3
180,14,1,12:21:09.797758,53,3
181,12,2,12:21:13.788147,45,3
182,12,3,12:21:16.635421,45,3
183,12,3,12:21:26.34708,45,3
184,12,1,12:21:32.078982,45,3
185,14,1,12:21:42.422261,53,3
186,14,2,12:21:46.16198,53,3
187,12,1,12:22:03.787154,45,3
188,12,1,12:22:03.787154,44,3
189,14,2,12:22:05.86862,53,3
190,14,3,12:22:19.103238,53,3
191,14,1,12:22:25.849462,53,3
192,12,1,12:22:38.260541,44,3
193,12,2,12:22:43.268687,44,3
194,14,1,12:22:50.946626,53,3
195,14,1,12:22:50.946626,53,3
196,12,2,12:23:29.240136,44,3
197,12,3,12:23:35.121273,44,3
198,12,3,12:23:50.676977,44,3
199,12,1,12:23:55.424641,44,3
200,12,1,12:24:22.915831,44,3
201,12,1,12:24:22.915831,44,3
202,10,1,12:31:37.903273,35,4
203,6,1,12:31:37.903273,19,4
204,6,1,12:31:59.284333,19,4
205,10,1,12:32:03.701789,35,4
206,10,2,12:32:07.837724,35,4
207,6,2,12:32:12.118038,19,4
208,10,2,12:32:17.493308,35,4
209,10,3,12:32:20.301799,35,4
210,6,2,12:32:29.236866,19,4
211,6,3,12:32:32.683575,19,4
212,10,3,12:32:34.368907,35,4
213,10,1,12:32:43.623866,35,4
214,6,3,12:32:44.435554,19,4
215,6,1,12:32:48.615121,19,4
216,10,1,12:33:07.569981,35,4
217,10,1,12:33:07.569981,38,4
218,6,1,12:33:17.181232,19,4
219,6,1,12:33:17.181232,21,4
220,10,1,12:33:42.606007,38,4
221,10,2,12:33:46.28583,38,4
222,6,1,12:33:48.147864,21,4
223,6,2,12:33:52.580283,21,4
224,6,2,12:34:08.687605,21,4
225,6,3,12:34:12.707794,21,4
226,6,3,12:34:22.83138,21,4
227,6,1,12:34:26.611206,21,4
228,10,2,12:34:27.787397,38,4
229,10,3,12:34:30.609404,38,4
230,10,3,12:34:41.354048,38,4
231,10,1,12:34:46.956132,38,4
232,6,1,12:34:56.923617,21,4
233,6,1,12:34:56.923617,20,4
234,10,1,12:35:13.552797,38,4
235,10,1,12:35:13.552797,36,4
236,6,1,12:35:45.136345,20,4
237,10,1,12:35:46.965858,36,4
238,10,2,12:35:50.465915,36,4
239,6,2,12:35:51.848932,20,4
240,10,2,12:36:00.826148,36,4
241,10,3,12:36:02.774837,36,4
242,10,3,12:36:13.749982,36,4
243,10,1,12:36:18.698736,36,4
244,6,2,12:36:23.268395,20,4
245,6,3,12:36:27.507667,20,4
246,6,3,12:36:38.107723,20,4
247,6,1,12:36:43.63417,20,4
248,10,1,12:36:44.66825,36,4
249,10,1,12:36:44.66825,37,4
250,6,1,12:37:16.714707,20,4
251,6,1,12:37:16.714707,22,4
252,10,1,12:37:21.840084,37,4
253,10,2,12:37:26.970893,37,4
254,10,2,12:37:43.31648,37,4
255,10,3,12:37:46.749919,37,4
256,10,3,12:38:03.372958,37,4
257,6,1,12:38:03.878059,22,4
258,6,2,12:38:11.778921,22,4
259,10,1,12:38:11.999517,37,4
260,6,2,12:38:33.660757,22,4
263,10,1,12:38:45.316969,37,4
264,10,1,12:38:45.316969,37,4
265,6,1,12:39:07.723726,22,4
266,6,1,12:39:44.094918,22,4
267,6,1,12:39:44.094918,22,4
268,7,1,12:44:25.537792,26,5
269,8,1,12:44:25.537792,30,5
270,8,1,12:44:44.122548,30,5
271,8,2,12:44:48.918251,30,5
272,7,1,12:45:01.089922,26,5
273,8,2,12:45:02.504863,30,5
274,8,3,12:45:05.364507,30,5
275,7,2,12:45:05.936025,26,5
276,8,3,12:45:15.684438,30,5
277,8,1,12:45:19.263128,30,5
278,7,2,12:45:32.028821,26,5
279,7,3,12:45:34.304977,26,5
280,8,1,12:45:40.81794,30,5
281,8,1,12:45:40.81794,29,5
282,7,3,12:45:42.686043,26,5
283,7,1,12:45:51.389906,26,5
284,8,1,12:46:08.614554,29,5
285,8,2,12:46:12.435165,29,5
286,7,1,12:46:23.106518,26,5
287,7,1,12:46:23.106518,23,5
288,8,2,12:46:24.995812,29,5
289,8,3,12:46:27.397924,29,5
290,8,3,12:46:37.050266,29,5
291,8,1,12:46:42.10518,29,5
292,7,1,12:46:54.911011,23,5
293,7,2,12:47:00.131258,23,5
294,8,1,12:47:05.233666,29,5
295,8,1,12:47:05.233666,27,5
296,7,2,12:47:19.969215,23,5
297,7,3,12:47:23.15892,23,5
298,8,1,12:47:31.041207,27,5
299,8,2,12:47:34.839669,27,5
300,7,3,12:47:37.026565,23,5
301,7,1,12:47:45.989847,23,5
302,8,2,12:47:48.091185,27,5
303,8,3,12:47:51.227974,27,5
304,8,3,12:48:01.18515,27,5
305,8,1,12:48:04.219249,27,5
306,7,1,12:48:17.087827,23,5
307,7,1,12:48:17.087827,24,5
308,8,1,12:48:28.910032,27,5
309,8,1,12:48:28.910032,28,5
310,7,1,12:48:47.62933,24,5
311,7,2,12:48:52.788824,24,5
312,8,1,12:49:01.005379,28,5
313,8,2,12:49:05.600252,28,5
314,8,2,12:49:18.345928,28,5
315,7,2,12:49:19.927308,24,5
316,8,3,12:49:20.761161,28,5
317,7,3,12:49:20.769167,24,5
318,8,3,12:49:30.236859,28,5
319,8,1,12:49:33.926643,28,5
320,7,3,12:49:34.347759,24,5
321,7,1,12:49:41.530515,24,5
322,8,1,12:49:57.670863,28,5
323,8,1,12:49:57.670863,28,5
324,7,1,12:50:12.656918,24,5
325,7,1,12:50:12.656918,25,5
326,7,1,12:50:42.528204,25,5
327,7,2,12:50:46.517003,25,5
328,7,2,12:51:01.425328,25,5
329,7,3,12:51:03.994633,25,5
330,7,3,12:51:21.777528,25,5
331,7,1,12:51:30.629981,25,5
332,7,1,12:51:54.224241,25,5
333,7,1,12:51:54.224241,25,5
334,4,1,13:05:27.398946,11,6
335,5,1,13:05:27.398946,18,6
336,4,1,13:05:29.892484,11,7
337,5,1,13:05:29.892484,18,7
338,4,1,13:05:30.361142,11,8
339,5,1,13:05:30.361142,18,8
340,5,1,13:05:43.276836,18,8
341,4,1,13:05:46.186587,11,8
342,5,2,13:05:46.716627,18,8
343,4,2,13:05:50.573948,11,8
344,5,2,13:05:54.142562,18,8
345,5,3,13:05:57.118735,18,8
346,4,2,13:06:01.824415,11,8
347,5,3,13:06:03.024092,18,8
348,4,3,13:06:04.753334,11,8
349,5,1,13:06:06.423702,18,8
350,4,3,13:06:17.161122,11,8
351,4,1,13:06:21.090801,11,8
352,5,1,13:06:35.883821,18,8
353,5,1,13:06:35.883821,16,8
354,4,1,13:06:44.070978,11,8
355,4,1,13:06:44.070978,13,8
356,5,1,13:07:08.215614,16,8
357,5,2,13:07:13.578922,16,8
358,4,1,13:07:18.249972,13,8
359,5,2,13:07:22.40178,16,8
361,5,3,13:07:26.364711,16,8
362,5,3,13:07:33.827597,16,8
364,5,1,13:07:35.987398,16,8
365,5,1,13:08:09.438061,16,8
366,5,1,13:08:09.438061,17,8
367,4,3,13:08:11.993232,13,8
368,4,3,13:08:25.931815,13,8
369,4,1,13:08:33.421128,13,8
370,5,1,13:08:36.62296,17,8
371,5,2,13:08:41.643534,17,8
372,5,2,13:08:50.690402,17,8
373,5,3,13:08:53.999177,17,8
374,5,3,13:09:03.797817,17,8
375,5,1,13:09:08.884816,17,8
376,4,1,13:09:16.334486,13,8
377,4,1,13:09:16.334486,12,8
378,5,1,13:09:32.616296,17,8
381,5,2,13:10:08.956976,15,8
382,5,2,13:10:19.184199,15,8
383,5,3,13:10:22.126645,15,8
384,4,1,13:10:29.29413,12,8
385,5,3,13:10:32.975146,15,8
386,4,2,13:10:37.464782,12,8
387,5,1,13:10:37.891332,15,8
388,4,2,13:10:47.206621,12,8
389,4,3,13:10:51.769318,12,8
390,5,1,13:11:03.244614,15,8
394,4,3,13:11:05.772056,12,8
395,4,1,13:11:18.381919,12,8
396,4,1,13:12:25.444051,12,8
397,4,1,13:12:25.444051,14,8
398,4,1,13:13:09.063804,14,8
399,4,2,13:13:15.928068,14,8
400,4,2,13:13:41.969003,14,8
401,4,3,13:13:45.307718,14,8
402,4,3,13:13:57.41642,14,8
403,4,1,13:13:59.124948,14,8
404,4,1,13:14:58.488235,14,8
405,4,1,13:14:58.488235,14,8
406,3,1,13:19:41.86786,10,9
407,15,1,13:19:41.86786,55,9
408,15,1,13:20:01.772689,55,9
409,3,1,13:20:03.978731,10,9
410,15,2,13:20:05.855903,55,9
411,3,2,13:20:09.332313,10,9
412,3,2,13:20:15.253323,10,9
413,15,2,13:20:17.61719,55,9
414,3,3,13:20:18.154324,10,9
415,15,3,13:20:20.202925,55,9
416,15,3,13:20:28.811424,55,9
417,15,1,13:20:30.535825,55,9
418,3,3,13:20:31.763234,10,9
419,3,1,13:20:39.077418,10,9
420,15,1,13:20:59.90092,55,9
421,15,1,13:20:59.90092,58,9
422,3,1,13:21:04.331514,10,9
423,3,1,13:21:04.331514,9,9
424,15,1,13:21:32.345895,58,9
425,3,1,13:21:33.772977,9,9
426,15,2,13:21:36.026011,58,9
427,3,2,13:21:37.730134,9,9
428,3,2,13:21:50.171623,9,9
429,3,3,13:21:52.611043,9,9
430,3,3,13:22:03.293497,9,9
431,3,1,13:22:08.876144,9,9
432,15,2,13:22:10.138609,58,9
433,15,3,13:22:13.442624,58,9
434,15,3,13:22:27.123753,58,9
435,15,1,13:22:31.448827,58,9
436,3,1,13:22:32.347327,9,9
437,3,1,13:22:32.347327,8,9
438,15,1,13:22:58.723005,58,9
439,15,1,13:22:58.723005,59,9
440,3,2,13:23:02.964374,8,9
441,3,1,13:23:03.994787,8,9
442,3,2,13:23:13.294021,8,9
443,3,3,13:23:15.89012,8,9
444,3,3,13:23:23.729158,8,9
445,15,1,13:23:28.193017,59,9
446,3,1,13:23:29.594602,8,9
447,15,2,13:23:31.450175,59,9
448,3,1,13:23:51.514317,8,9
449,3,1,13:23:51.514317,7,9
450,15,2,13:23:51.52017,59,9
451,15,3,13:23:54.275507,59,9
452,15,3,13:24:03.627296,59,9
453,15,1,13:24:07.303171,59,9
454,3,1,13:24:23.564327,7,9
455,15,1,13:24:31.420667,59,9
456,15,1,13:24:31.420667,55,9
457,3,2,13:24:34.23747,7,9
458,3,2,13:24:43.574947,7,9
459,3,3,13:24:45.812915,7,9
460,3,3,13:24:56.876731,7,9
461,3,1,13:25:02.24969,7,9
462,15,1,13:25:04.106513,55,9
463,15,2,13:25:09.874479,55,9
464,3,1,13:25:26.105283,7,9
465,3,1,13:25:26.105283,7,9
466,15,2,13:25:39.778378,55,9
467,15,3,13:25:52.032959,55,9
468,15,3,13:26:00.75525,55,9
469,15,1,13:26:01.914564,55,9
470,15,1,13:26:24.700165,55,9
471,15,1,13:26:24.700165,55,9
472,1,1,13:30:05.084597,1,10
473,2,1,13:30:05.084597,6,10
474,2,1,13:30:26.423664,6,10
475,1,1,13:30:27.298975,1,10
476,2,2,13:30:29.76989,6,10
477,1,2,13:30:32.640763,1,10
478,2,2,13:30:40.204983,6,10
479,2,3,13:30:42.727172,6,10
480,1,2,13:30:47.807827,1,10
481,2,3,13:30:50.720837,6,10
482,1,3,13:30:52.161091,1,10
483,2,1,13:30:54.121763,6,10
484,1,3,13:31:01.798695,1,10
485,1,1,13:31:09.845966,1,10
486,2,1,13:31:15.993614,6,10
487,2,1,13:31:15.993614,5,10
488,1,1,13:31:32.792792,1,10
489,1,1,13:31:32.792792,3,10
490,2,1,13:31:49.506223,5,10
491,2,2,13:31:52.864325,5,10
492,2,2,13:32:02.92818,5,10
493,2,3,13:32:05.60998,5,10
494,2,3,13:32:13.513657,5,10
495,2,1,13:32:16.845212,5,10
496,1,1,13:32:20.065235,3,10
497,1,2,13:32:25.847083,3,10
498,1,2,13:32:32.325908,3,10
499,1,3,13:32:34.300977,3,10
500,2,1,13:32:39.212626,5,10
501,2,1,13:32:39.212626,6,10
502,1,3,13:32:43.360713,3,10
503,1,1,13:32:49.762949,3,10
504,2,1,13:33:06.417234,6,10
505,2,2,13:33:10.670759,6,10
506,1,1,13:33:13.428706,3,10
507,1,1,13:33:13.428706,2,10
508,2,2,13:33:20.091703,6,10
509,2,3,13:33:22.710284,6,10
510,2,3,13:33:30.49072,6,10
511,2,1,13:33:33.851168,6,10
512,1,1,13:33:45.083166,2,10
513,1,2,13:33:51.192661,2,10
514,2,1,13:33:56.61636,6,10
515,2,1,13:33:56.61636,5,10
516,1,2,13:34:11.087047,2,10
517,1,3,13:34:15.684212,2,10
518,1,3,13:34:24.139698,2,10
519,2,1,13:34:27.018117,5,10
520,1,1,13:34:31.850119,2,10
521,2,2,13:34:31.853992,5,10
522,2,2,13:34:42.719911,5,10
523,2,3,13:34:44.806261,5,10
524,2,3,13:34:53.254559,5,10
525,2,1,13:34:55.644442,5,10
526,1,1,13:34:56.505865,2,10
527,1,1,13:34:56.505865,4,10
528,2,1,13:35:20.299231,5,10
529,2,1,13:35:20.299231,5,10
530,1,1,13:35:27.122097,4,10
531,1,2,13:35:47.657968,4,10
532,1,3,13:35:50.411154,4,10
533,1,3,13:35:57.443613,4,10
534,1,1,13:36:01.882369,4,10
535,1,1,13:36:24.655788,4,10
536,1,1,13:36:24.655788,4,10
537,14,1,13:44:50.427019,54,11
538,13,1,13:44:50.427019,47,11
539,13,1,13:45:03.023945,47,11
540,14,1,13:45:03.273775,53,11
541,13,2,13:45:08.776307,47,11
542,14,2,13:45:09.029521,53,11
543,14,2,13:45:18.310639,53,11
544,14,3,13:45:20.650061,53,11
545,13,2,13:45:24.700277,47,11
546,13,3,13:45:26.669853,47,11
547,14,3,13:45:31.733503,53,11
548,13,3,13:45:35.615197,47,11
549,13,1,13:45:38.593316,47,11
550,14,1,13:45:42.076139,53,11
551,13,1,13:46:02.479684,47,11
552,13,1,13:46:02.479684,48,11
553,14,1,13:46:04.333961,53,11
554,14,1,13:46:04.333961,51,11
555,13,1,13:46:31.51677,48,11
556,14,2,13:46:32.944954,53,11
557,14,1,13:46:33.737586,53,11
558,13,2,13:46:36.250484,48,11
559,14,2,13:46:44.876166,53,11
560,14,3,13:46:47.297391,53,11
561,13,2,13:46:53.828456,48,11
562,14,3,13:46:54.169893,53,11
563,13,3,13:46:56.825181,48,11
564,14,1,13:47:01.296907,53,11
565,13,3,13:47:05.830996,48,11
566,13,1,13:47:09.165707,48,11
567,14,1,13:47:29.588458,53,11
568,14,1,13:47:29.588458,52,11
569,13,1,13:47:31.358792,48,11
570,13,1,13:47:31.358792,50,11
571,14,2,13:48:01.369921,52,11
572,14,1,13:48:01.74181,52,11
573,14,2,13:48:05.280251,52,11
574,13,1,13:48:06.264092,50,11
575,14,3,13:48:07.78092,52,11
576,13,2,13:48:12.516669,50,11
577,14,3,13:48:14.658037,52,11
578,13,2,13:48:19.187793,50,11
579,13,3,13:48:21.556007,50,11
580,14,1,13:48:21.899287,52,11
581,13,3,13:48:29.696339,50,11
582,13,1,13:48:35.307499,50,11
583,14,1,13:48:42.747831,52,11
584,14,1,13:48:42.747831,53,11
585,13,1,13:49:01.49124,50,11
586,13,1,13:49:01.49124,49,11
587,14,1,13:49:10.694746,53,11
588,14,2,13:49:15.127394,53,11
589,13,1,13:49:27.491762,49,11
590,13,2,13:49:30.710838,49,11
591,14,2,13:49:33.481248,53,11
592,14,3,13:49:36.812284,53,11
593,13,2,13:49:37.796083,49,11
594,13,3,13:49:40.594737,49,11
595,14,3,13:49:47.861753,53,11
596,13,3,13:49:48.459954,49,11
597,13,1,13:49:50.213869,49,11
598,14,1,13:49:52.35796,53,11
599,13,1,13:50:15.372765,49,11
600,13,1,13:50:15.372765,49,11
601,14,1,13:50:17.551309,53,11
602,14,1,13:50:17.551309,53,11
603,10,1,13:53:47.535007,35,12
604,8,1,13:53:47.535007,30,12
605,10,1,13:54:09.245773,35,12
606,8,1,13:54:09.481438,28,12
607,8,2,13:54:13.906831,28,12
608,10,2,13:54:14.612177,35,12
609,10,2,13:54:23.188709,35,12
610,8,2,13:54:25.158008,28,12
611,10,3,13:54:26.024954,35,12
612,8,3,13:54:28.137628,28,12
613,8,3,13:54:37.761264,28,12
614,10,3,13:54:38.326028,35,12
615,8,1,13:54:41.061364,28,12
616,10,1,13:54:47.487864,35,12
617,10,1,13:55:10.653604,35,12
618,10,1,13:55:10.653604,38,12
619,8,1,13:55:29.630396,28,12
620,8,2,13:55:34.148048,28,12
621,10,1,13:55:43.771405,38,12
622,10,2,13:55:47.682277,38,12
623,8,2,13:55:49.664956,28,12
624,8,3,13:55:52.473111,28,12
625,8,3,13:56:02.110585,28,12
626,8,1,13:56:05.879154,28,12
627,10,2,13:56:15.96955,38,12
628,10,3,13:56:18.366739,38,12
629,10,3,13:56:28.146066,38,12
630,10,1,13:56:36.059913,38,12
631,8,1,13:56:55.166021,28,12
632,8,2,13:56:59.294114,28,12
633,10,1,13:57:03.47083,38,12
634,10,1,13:57:03.47083,36,12
635,8,2,13:57:10.696817,28,12
636,8,3,13:57:13.409432,28,12
637,8,3,13:57:23.854821,28,12
638,8,1,13:57:26.845271,28,12
639,10,1,13:57:34.087191,36,12
640,10,2,13:57:37.963004,36,12
641,10,2,13:57:46.984407,36,12
642,10,3,13:57:48.888064,36,12
643,10,3,13:57:58.406414,36,12
